ID,Node,Source,Target,Relationship,X,Y,CycleY,Category,Order,Family,Common Names,Weight
83,Strigidae,Strigiformes,Strigidae,Strigiformes-->Strigidae,0.572800589113,0.842474423361,0.842474423361,0,0,Strigidae,0,50
84,Strigidae,Strigidae,Long-eared Owl,Strigidae-->Long-eared Owl,0.572800589113,0.842474423361,0.842474423361,0,0,Strigidae,0,50
84,Long-eared Owl,Strigidae,Long-eared Owl,Strigidae-->Long-eared Owl,0.685946421398,0.761359678655,0.761359678655,0,0,0,Long-eared Owl,20
85,Bird,Bird,Coraciiformes,Bird-->Coraciiformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
85,Coraciiformes,Bird,Coraciiformes,Bird-->Coraciiformes,0.465113218817,0.339542764265,0.339542764265,0,Coraciiformes,0,0,100
86,Coraciiformes,Coraciiformes,Alcedinidae,Coraciiformes-->Alcedinidae,0.465113218817,0.339542764265,0.339542764265,0,Coraciiformes,0,0,100
86,Alcedinidae,Coraciiformes,Alcedinidae,Coraciiformes-->Alcedinidae,0.471089662627,0.175907800968,0.175907800968,0,0,Alcedinidae,0,50
87,Alcedinidae,Alcedinidae,Belted kingfisher,Alcedinidae-->Belted kingfisher,0.471089662627,0.175907800968,0.175907800968,0,0,Alcedinidae,0,50
87,Belted kingfisher,Alcedinidae,Belted kingfisher,Alcedinidae-->Belted kingfisher,0.457884053885,0.0,0.0,0,0,0,Belted kingfisher,20
88,Bird,Bird,Gaviiformes,Bird-->Gaviiformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
88,Gaviiformes,Bird,Gaviiformes,Bird-->Gaviiformes,0.498066248912,0.628435211311,0.628435211311,0,Gaviiformes,0,0,100
89,Gaviiformes,Gaviiformes,Gaviidae,Gaviiformes-->Gaviidae,0.498066248912,0.628435211311,0.628435211311,0,Gaviiformes,0,0,100
89,Gaviidae,Gaviiformes,Gaviidae,Gaviiformes-->Gaviidae,0.491544884936,0.819926737169,0.819926737169,0,0,Gaviidae,0,50
90,Gaviidae,Gaviidae,Yellow-billed loon,Gaviidae-->Yellow-billed loon,0.491544884936,0.819926737169,0.819926737169,0,0,Gaviidae,0,50
90,Yellow-billed loon,Gaviidae,Yellow-billed loon,Gaviidae-->Yellow-billed loon,0.408335671448,0.934952900271,0.934952900271,0,0,0,Yellow-billed loon,20
91,Bird,Bird,Gaviiformes,Bird-->Gaviiformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
91,Gaviiformes,Bird,Gaviiformes,Bird-->Gaviiformes,0.498066248912,0.628435211311,0.628435211311,0,Gaviiformes,0,0,100
92,Gaviiformes,Gaviiformes,Gaviidae,Gaviiformes-->Gaviidae,0.498066248912,0.628435211311,0.628435211311,0,Gaviiformes,0,0,100
92,Gaviidae,Gaviiformes,Gaviidae,Gaviiformes-->Gaviidae,0.491544884936,0.819926737169,0.819926737169,0,0,Gaviidae,0,50
93,Gaviidae,Gaviidae,Arctic loon,Gaviidae-->Arctic loon,0.491544884936,0.819926737169,0.819926737169,0,0,Gaviidae,0,50
93,Arctic loon,Gaviidae,Arctic loon,Gaviidae-->Arctic loon,0.365197451379,0.907720277782,0.907720277782,0,0,0,Arctic loon,20
94,Bird,Bird,Podicipediformes,Bird-->Podicipediformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
94,Podicipediformes,Bird,Podicipediformes,Bird-->Podicipediformes,0.378504477902,0.430188713828,0.430188713828,0,Podicipediformes,0,0,100
